PeriodEnd,PeriodStart,AirTemp,CloudOpacity,Dhi,Dni,Ebh,Ghi,WindSpeed10m
2020-12-31T00:15:00Z,2020-12-31T00:00:00Z,2.7,79.5,0,0,0,0,4.3
2020-12-31T00:30:00Z,2020-12-31T00:15:00Z,2.7,79.9,0,0,0,0,4.2
2020-12-31T00:45:00Z,2020-12-31T00:30:00Z,2.8,81.4,0,0,0,0,4.1
2020-12-31T01:00:00Z,2020-12-31T00:45:00Z,2.8,83.0,0,0,0,0,4.1
2020-12-31T01:15:00Z,2020-12-31T01:00:00Z,2.8,84.2,0,0,0,0,4.0
2020-12-31T01:30:00Z,2020-12-31T01:15:00Z,2.8,83.6,0,0,0,0,3.9
2020-12-31T01:45:00Z,2020-12-31T01:30:00Z,2.8,83.1,0,0,0,0,3.7
2020-12-31T02:00:00Z,2020-12-31T01:45:00Z,2.8,82.9,0,0,0,0,3.6
2020-12-31T02:15:00Z,2020-12-31T02:00:00Z,2.8,82.6,0,0,0,0,3.6
2020-12-31T02:30:00Z,2020-12-31T02:15:00Z,2.8,83.1,0,0,0,0,3.5
2020-12-31T02:45:00Z,2020-12-31T02:30:00Z,2.9,82.9,0,0,0,0,3.5
2020-12-31T03:00:00Z,2020-12-31T02:45:00Z,2.9,81.7,0,0,0,0,3.4
2020-12-31T03:15:00Z,2020-12-31T03:00:00Z,2.9,80.0,0,0,0,0,3.4
2020-12-31T03:30:00Z,2020-12-31T03:15:00Z,2.9,78.3,0,0,0,0,3.3
2020-12-31T03:45:00Z,2020-12-31T03:30:00Z,3.0,75.1,0,0,0,0,3.3
2020-12-31T04:00:00Z,2020-12-31T03:45:00Z,3.0,74.4,0,0,0,0,3.2
2020-12-31T04:15:00Z,2020-12-31T04:00:00Z,3.0,77.2,0,0,0,0,3.1
2020-12-31T04:30:00Z,2020-12-31T04:15:00Z,2.9,81.8,0,0,0,0,3.1
2020-12-31T04:45:00Z,2020-12-31T04:30:00Z,2.8,83.5,0,0,0,0,3.0
2020-12-31T05:00:00Z,2020-12-31T04:45:00Z,2.7,83.1,0,0,0,0,2.9
2020-12-31T05:15:00Z,2020-12-31T05:00:00Z,2.7,83.3,0,0,0,0,2.8
2020-12-31T05:30:00Z,2020-12-31T05:15:00Z,2.7,84.0,0,0,0,0,2.8
2020-12-31T05:45:00Z,2020-12-31T05:30:00Z,2.6,82.5,0,0,0,0,2.7
2020-12-31T06:00:00Z,2020-12-31T05:45:00Z,2.6,78.5,0,0,0,0,2.7
2020-12-31T06:15:00Z,2020-12-31T06:00:00Z,2.6,82.7,0,0,0,0,2.6
2020-12-31T06:30:00Z,2020-12-31T06:15:00Z,2.6,88.8,0,0,0,0,2.6
2020-12-31T06:45:00Z,2020-12-31T06:30:00Z,2.6,83.4,0,0,0,0,2.5
2020-12-31T07:00:00Z,2020-12-31T06:45:00Z,2.6,71.5,0,0,0,0,2.5
2020-12-31T07:15:00Z,2020-12-31T07:00:00Z,2.6,73.6,0,0,0,0,2.4
2020-12-31T07:30:00Z,2020-12-31T07:15:00Z,2.5,77.7,0,0,0,0,2.4
2020-12-31T07:45:00Z,2020-12-31T07:30:00Z,2.5,77.8,0,0,0,0,2.3
2020-12-31T08:00:00Z,2020-12-31T07:45:00Z,2.4,81.6,0,0,0,0,2.3
2020-12-31T08:15:00Z,2020-12-31T08:00:00Z,2.4,77.6,3,0,0,3,2.3
2020-12-31T08:30:00Z,2020-12-31T08:15:00Z,2.4,67.9,10,0,0,10,2.4
2020-12-31T08:45:00Z,2020-12-31T08:30:00Z,2.3,52.3,25,0,0,25,2.5
2020-12-31T09:00:00Z,2020-12-31T08:45:00Z,2.3,45.9,38,0,0,38,2.6
2020-12-31T09:15:00Z,2020-12-31T09:00:00Z,2.4,69.2,29,0,0,29,2.7
2020-12-31T09:30:00Z,2020-12-31T09:15:00Z,2.5,74.9,28,0,0,28,2.7
2020-12-31T09:45:00Z,2020-12-31T09:30:00Z,2.7,76.8,31,0,0,31,2.7
2020-12-31T10:00:00Z,2020-12-31T09:45:00Z,2.8,73.4,40,0,0,40,2.7
2020-12-31T10:15:00Z,2020-12-31T10:00:00Z,3.0,70.5,50,0,0,50,2.6
2020-12-31T10:30:00Z,2020-12-31T10:15:00Z,3.1,68.2,58,0,0,58,2.4
