Time,level_0,index,General Demand (W),Heating Demand (W),PV (W),TotalDemand,Imbalnace,Imbalance_check,Energy Imported (W),Hour,DayOfWeek,EV Demand (W)
2021-01-02 00:00:00,0,96,5973.0,4290,0.0,10263.0,10263.0,True,10263.0,0,5,0.0
2021-01-02 00:15:00,1,97,7129.0,4290,0.0,11419.0,11419.0,True,11419.0,0,5,0.0
2021-01-02 00:30:00,2,98,5542.0,4290,0.0,9832.0,9832.0,True,9832.0,0,5,0.0
2021-01-02 00:45:00,3,99,5363.0,4290,0.0,9653.0,9653.0,True,9653.0,0,5,0.0
2021-01-02 01:00:00,4,100,5347.0,4290,0.0,9637.0,9637.0,True,9637.0,1,5,0.0
2021-01-02 01:15:00,5,101,5370.0,4290,0.0,9660.0,9660.0,True,9660.0,1,5,0.0
2021-01-02 01:30:00,6,102,5391.0,4290,0.0,9681.0,9681.0,True,9681.0,1,5,0.0
2021-01-02 01:45:00,7,103,5343.0,4290,0.0,9633.0,9633.0,True,9633.0,1,5,0.0
2021-01-02 02:00:00,8,104,5365.0,4290,0.0,9655.0,9655.0,True,9655.0,2,5,0.0
2021-01-02 02:15:00,9,105,5364.0,4290,0.0,9654.0,9654.0,True,9654.0,2,5,0.0
2021-01-02 02:30:00,10,106,5391.0,4290,0.0,9681.0,9681.0,True,9681.0,2,5,0.0
2021-01-02 02:45:00,11,107,5344.0,4290,0.0,9634.0,9634.0,True,9634.0,2,5,0.0
2021-01-02 03:00:00,12,108,5362.0,4290,0.0,9652.0,9652.0,True,9652.0,3,5,0.0
2021-01-02 03:15:00,13,109,5359.0,4290,0.0,9649.0,9649.0,True,9649.0,3,5,0.0
2021-01-02 03:30:00,14,110,5391.0,4290,0.0,9681.0,9681.0,True,9681.0,3,5,0.0
2021-01-02 03:45:00,15,111,5349.0,4290,0.0,9639.0,9639.0,True,9639.0,3,5,0.0
2021-01-02 04:00:00,16,112,5358.0,4290,0.0,9648.0,9648.0,True,9648.0,4,5,0.0
2021-01-02 04:15:00,17,113,5365.0,4290,0.0,9655.0,9655.0,True,9655.0,4,5,0.0
2021-01-02 04:30:00,18,114,5388.0,4290,0.0,9678.0,9678.0,True,9678.0,4,5,0.0
2021-01-02 04:45:00,19,115,5342.0,4290,0.0,9632.0,9632.0,True,9632.0,4,5,0.0
2021-01-02 05:00:00,20,116,5364.0,4290,0.0,9654.0,9654.0,True,9654.0,5,5,0.0
2021-01-02 05:15:00,21,117,5374.0,4290,0.0,9664.0,9664.0,True,9664.0,5,5,0.0
2021-01-02 05:30:00,22,118,5376.0,4290,0.0,9666.0,9666.0,True,9666.0,5,5,0.0
2021-01-02 05:45:00,23,119,5367.0,4290,0.0,9657.0,9657.0,True,9657.0,5,5,0.0
2021-01-02 06:00:00,24,120,5547.0,4290,0.0,9837.0,9837.0,True,9837.0,6,5,0.0
2021-01-02 06:15:00,25,121,6418.0,4290,0.0,10708.0,10708.0,True,10708.0,6,5,0.0
2021-01-02 06:30:00,26,122,7093.0,6243,0.0,13336.0,13336.0,True,13336.0,6,5,0.0
2021-01-02 06:45:00,27,123,10202.0,12137,0.0,22339.0,22339.0,True,22339.0,6,5,0.0
2021-01-02 07:00:00,28,124,10948.0,6182,0.0,17130.0,17130.0,True,17130.0,7,5,0.0
2021-01-02 07:15:00,29,125,10860.0,7807,0.0,18667.0,18667.0,True,18667.0,7,5,0.0
2021-01-02 07:30:00,30,126,14919.0,9348,0.0,24267.0,24267.0,True,24267.0,7,5,0.0
2021-01-02 07:45:00,31,127,11448.0,10046,0.0,21494.0,21494.0,True,21494.0,7,5,0.0
2021-01-02 08:00:00,32,128,13201.0,7173,0.0,20374.0,20374.0,True,20374.0,8,5,0.0
2021-01-02 08:15:00,33,129,13543.0,3984,0.0,17527.0,17527.0,True,17527.0,8,5,0.0
2021-01-02 08:30:00,34,130,13240.0,3984,0.0,17224.0,17224.0,True,17224.0,8,5,0.0
2021-01-02 08:45:00,35,131,11120.0,5644,0.0,16764.0,16764.0,True,16764.0,8,5,0.0
2021-01-02 09:00:00,36,132,8915.0,6670,-2989.022222307,15585.0,12595.977777693,True,12595.977777693,9,5,0.0
2021-01-02 09:15:00,37,133,8315.0,6191,-132197.6222307,14506.0,-117691.62223070001,False,0.0,9,5,0.0
2021-01-02 09:30:00,38,134,5335.0,4263,-111213.9111099,9598.0,-101615.9111099,False,0.0,9,5,0.0
2021-01-02 09:45:00,39,135,5482.0,3935,-72148.311099,9417.0,-62731.311099,False,0.0,9,5,0.0
2021-01-02 10:00:00,40,136,5664.0,4445,-54424.911099000004,10109.0,-44315.911099000004,False,0.0,10,5,0.0
2021-01-02 10:15:00,41,137,5789.0,3626,-46431.5777802,9415.0,-37016.5777802,False,0.0,10,5,0.0
2021-01-02 10:30:00,42,138,5908.0,3626,-42815.199989099994,9534.0,-33281.199989099994,False,0.0,10,5,0.0
2021-01-02 10:45:00,43,139,5985.0,3626,-29030.333334059997,9611.0,-19419.333334059997,False,0.0,10,5,0.0
2021-01-02 11:00:00,44,140,6075.0,3626,-22047.066665939998,9701.0,-12346.066665939998,False,0.0,11,5,0.0
2021-01-02 11:15:00,45,141,6159.0,3744,-17386.71111099,9903.0,-7483.71111099,False,0.0,11,5,0.0
2021-01-02 11:30:00,46,142,6213.0,3744,-13021.86666594,9957.0,-3064.8666659400005,False,0.0,11,5,0.0
2021-01-02 11:45:00,47,143,7048.0,3633,-11883.42222198,10681.0,-1202.4222219799994,False,0.0,11,5,0.0
2021-01-02 12:00:00,48,144,8468.0,3633,-10761.93333297,12101.0,1339.0666670299997,True,1339.0666670299997,12,5,0.0
2021-01-02 12:15:00,49,145,8000.0,3633,-9654.97777911,11633.0,1978.0222208899995,True,1978.0222208899995,12,5,0.0
2021-01-02 12:30:00,50,146,7693.0,3633,-8557.71111099,11326.0,2768.2888890100003,True,2768.2888890100003,12,5,0.0
2021-01-02 12:45:00,51,147,7240.0,3633,-10529.400000000001,10873.0,343.59999999999854,True,343.59999999999854,12,5,0.0
2021-01-02 13:00:00,52,148,8716.0,4081,-12522.888890100001,12797.0,274.11110989999906,True,274.11110989999906,13,5,0.0
2021-01-02 13:15:00,53,149,8512.0,3633,-14543.02222089,12145.0,-2398.0222208899995,False,0.0,13,5,0.0
2021-01-02 13:30:00,54,150,6419.0,3633,-16592.22222198,10052.0,-6540.222221979999,False,0.0,13,5,0.0
2021-01-02 13:45:00,55,151,6493.0,3633,-15715.37777802,10126.0,-5589.37777802,False,0.0,13,5,0.0
2021-01-02 14:00:00,56,152,6627.0,3484,-14845.8,10111.0,-4734.799999999999,False,0.0,14,5,0.0
2021-01-02 14:15:00,57,153,7456.0,4482,-13983.48888792,11938.0,-2045.4888879200007,False,0.0,14,5,0.0
2021-01-02 14:30:00,58,154,8855.0,3421,-13133.28888792,12276.0,-857.28888792,False,0.0,14,5,0.0
2021-01-02 14:45:00,59,155,7873.0,4039,-10468.844442869999,11912.0,1443.1555571300014,True,1443.1555571300014,14,5,0.0
2021-01-02 15:00:00,60,156,9461.0,3757,-7821.35555604,13218.0,5396.64444396,True,5396.64444396,15,5,0.0
2021-01-02 15:15:00,61,157,9816.0,6340,-5185.97777802,16156.0,10970.02222198,True,10970.02222198,15,5,0.0
2021-01-02 15:30:00,62,158,11026.0,3960,-2569.977777693,14986.0,12416.022222307,True,12416.022222307,15,5,0.0
2021-01-02 15:45:00,63,159,10898.0,3629,-1935.355555713,14527.0,12591.644444287,True,12591.644444287,15,5,0.0
2021-01-02 16:00:00,64,160,13315.0,3748,-1300.733333406,17063.0,15762.266666594,True,15762.266666594,16,5,0.0
2021-01-02 16:15:00,65,161,15336.0,3961,-627.3555557130001,19297.0,18669.644444286998,True,18669.644444287,16,5,0.0
2021-01-02 16:30:00,66,162,13805.0,3900,0.0,17705.0,17705.0,True,17705.0,16,5,0.0
2021-01-02 16:45:00,67,163,14843.0,4466,0.0,19309.0,19309.0,True,19309.0,16,5,0.0
2021-01-02 17:00:00,68,164,15997.0,3775,0.0,19772.0,19772.0,True,19772.0,17,5,0.0
2021-01-02 17:15:00,69,165,18812.0,5452,0.0,24264.0,24264.0,True,24264.0,17,5,0.0
2021-01-02 17:30:00,70,166,19423.0,3578,0.0,23001.0,8365.0,True,23001.0,17,5,-14636.0
2021-01-02 17:45:00,71,167,16688.0,3578,0.0,20266.0,5630.0,True,20266.0,17,5,-14636.0
2021-01-02 18:00:00,72,168,14936.0,5674,0.0,20610.0,5974.0,True,20610.0,18,5,-14636.0
