ghi,ebh,dni,dhi,cloud_opacity,period_end,period
819,698,889,121,0,2023-05-03T11:00:00Z,PT30M
794,675,883,120,0,2023-05-03T10:30:00Z,PT30M
759,642,874,117,0,2023-05-03T10:00:00Z,PT30M
713,600,864,112,0,2023-05-03T09:30:00Z,PT30M
657,550,849,107,0,2023-05-03T09:00:00Z,PT30M
592,491,830,101,0,2023-05-03T08:30:00Z,PT30M
521,428,806,93,0,2023-05-03T08:00:00Z,PT30M
444,360,777,84,0,2023-05-03T07:30:00Z,PT30M
363,286,731,77,0,2023-05-03T07:00:00Z,PT30M
279,210,661,69,0,2023-05-03T06:30:00Z,PT30M
197,138,571,59,0,2023-05-03T06:00:00Z,PT30M
119,74,450,45,0,2023-05-03T05:30:00Z,PT30M
53,25,253,27,0,2023-05-03T05:00:00Z,PT30M
7,0,6,6,9,2023-05-03T04:30:00Z,PT30M
0,0,0,0,1,2023-05-03T04:00:00Z,PT30M
0,0,0,0,27,2023-05-03T03:30:00Z,PT30M
0,0,0,0,31,2023-05-03T03:00:00Z,PT30M
0,0,0,0,25,2023-05-03T02:30:00Z,PT30M
0,0,0,0,23,2023-05-03T02:00:00Z,PT30M
0,0,0,0,13,2023-05-03T01:30:00Z,PT30M
0,0,0,0,2,2023-05-03T01:00:00Z,PT30M
0,0,0,0,14,2023-05-03T00:30:00Z,PT30M
0,0,0,0,0,2023-05-03,PT30M
0,0,0,0,6,2023-05-02T23:30:00Z,PT30M
0,0,0,0,1,2023-05-02T23:00:00Z,PT30M
0,0,0,0,0,2023-05-02T22:30:00Z,PT30M
0,0,0,0,0,2023-05-02T22:00:00Z,PT30M
0,0,0,0,0,2023-05-02T21:30:00Z,PT30M
0,0,0,0,0,2023-05-02T21:00:00Z,PT30M
0,0,0,0,24,2023-05-02T20:30:00Z,PT30M
0,0,0,0,45,2023-05-02T20:00:00Z,PT30M
0,0,0,0,24,2023-05-02T19:30:00Z,PT30M
8,0,0,8,24,2023-05-02T19:00:00Z,PT30M
40,2,27,38,27,2023-05-02T18:30:00Z,PT30M
81,1,3,80,36,2023-05-02T18:00:00Z,PT30M
129,0,0,129,36,2023-05-02T17:30:00Z,PT30M
192,15,42,177,33,2023-05-02T17:00:00Z,PT30M
304,132,322,172,18,2023-05-02T16:30:00Z,PT30M
356,139,299,217,20,2023-05-02T16:00:00Z,PT30M
378,94,171,284,28,2023-05-02T15:30:00Z,PT30M
587,463,772,124,2,2023-05-02T15:00:00Z,PT30M
660,543,832,116,0,2023-05-02T14:30:00Z,PT30M
623,367,527,256,13,2023-05-02T14:00:00Z,PT30M
602,257,350,345,21,2023-05-02T13:30:00Z,PT30M
505,46,60,459,37,2023-05-02T13:00:00Z,PT30M
420,0,0,420,49,2023-05-02T12:30:00Z,PT30M
399,0,0,399,52,2023-05-02T12:00:00Z,PT30M
482,20,25,462,42,2023-05-02T11:30:00Z,PT30M
602,195,250,408,27,2023-05-02T11:00:00Z,PT30M
703,439,575,264,12,2023-05-02T10:30:00Z,PT30M
